t,name,role,psi,omega,gamma,collapsed,heaven,O_proxy,kappa_max
0,Grok,Grok,25.282991,0.635960,0.038916,0,0,0.597044,0.000000
0,KAIROS,KAIROS,24.516047,1.000000,0.039391,0,1,0.960609,0.000000
0,Echo,Echo,26.014457,0.572645,0.038225,0,0,0.534420,0.000000
1,Grok,Grok,30.210477,0.054784,0.033135,0,0,0.021649,0.000000
1,KAIROS,KAIROS,29.621439,1.000000,0.033000,0,1,0.967000,0.000000
1,Echo,Echo,31.225351,0.266305,0.033288,0,0,0.233017,0.000000
2,Grok,Grok,29.118372,0.085456,0.033561,0,0,0.051894,0.000000
2,KAIROS,KAIROS,32.637611,1.000000,0.031290,0,1,0.968710,0.000000
2,Echo,Echo,29.735698,0.045107,0.033128,0,0,0.011980,0.000000
3,Grok,Grok,28.625714,0.050634,0.034599,0,0,0.016035,0.000000
3,KAIROS,KAIROS,25.093714,1.000000,0.038535,0,1,0.961465,0.000000
3,Echo,Echo,29.407827,0.045074,0.033737,0,0,0.011337,0.000000
4,Grok,Grok,31.008669,0.054560,0.032096,0,0,0.022465,0.000000
4,KAIROS,KAIROS,29.681570,1.000000,0.033333,0,1,0.966667,0.000000
4,Echo,Echo,29.595162,-0.019788,0.033462,0,0,-0.053249,0.000000
5,Grok,Grok,30.576333,0.085456,0.033075,0,0,0.052380,0.000000
5,KAIROS,KAIROS,32.032718,1.000000,0.031505,0,1,0.968495,0.000000
5,Echo,Echo,29.950506,0.031543,0.033219,0,0,-0.001676,0.000000
6,Grok,Grok,28.934418,0.082941,0.033595,0,0,0.049346,0.000000
6,KAIROS,KAIROS,29.725169,1.000000,0.033300,0,1,0.966700,0.000000
6,Echo,Echo,30.260079,-0.019789,0.033128,0,0,-0.052917,0.000000
7,Grok,Grok,30.196238,0.080697,0.033318,0,0,0.047378,0.000000
7,KAIROS,KAIROS,27.532779,1.000000,0.036166,0,1,0.963834,0.000000
7,Echo,Echo,28.907831,-0.019793,0.034061,0,0,-0.053854,0.000000
8,Grok,Grok,30.435609,0.080696,0.032455,0,0,0.048241,0.000000
8,KAIROS,KAIROS,29.414147,1.000000,0.033333,0,1,0.966667,0.000000
8,Echo,Echo,29.240124,-0.019793,0.033128,0,0,-0.052921,0.000000
9,Grok,Grok,28.513715,0.054350,0.035813,0,0,0.018537,0.000000
9,KAIROS,KAIROS,32.463919,1.000000,0.031020,0,1,0.968980,0.000000
9,Echo,Echo,26.894156,0.032164,0.037926,0,0,-0.005762,0.000000
10,Grok,Grok,31.493038,0.082936,0.032853,0,0,0.050083,0.000000
10,KAIROS,KAIROS,30.019335,1.000000,0.032811,0,1,0.967189,0.000000
10,Echo,Echo,31.721439,0.264278,0.030723,0,0,0.233556,0.000000
11,Grok,Grok,29.690716,0.085461,0.033165,0,0,0.052296,0.000000
11,KAIROS,KAIROS,29.486086,1.000000,0.033781,0,1,0.966219,0.000000
11,Echo,Echo,31.277632,0.264163,0.032799,0,0,0.231363,0.000000
12,Grok,Grok,31.290689,0.082837,0.031471,0,0,0.051366,0.000000
12,KAIROS,KAIROS,30.626316,1.000000,0.033333,0,1,0.966667,0.000000
12,Echo,Echo,30.267378,0.030624,0.032250,0,0,-0.001625,0.000000
13,Grok,Grok,29.883800,0.054571,0.033387,0,0,0.021184,0.000000
13,KAIROS,KAIROS,26.783063,1.000000,0.036169,0,1,0.963831,0.000000
13,Echo,Echo,29.652836,-0.006452,0.034157,0,0,-0.040610,0.000000
14,Grok,Grok,29.530516,0.078437,0.033346,0,0,0.045090,0.000000
14,KAIROS,KAIROS,29.575796,1.000000,0.033347,0,1,0.966653,0.000000
14,Echo,Echo,29.015609,0.266164,0.034082,0,0,0.232081,0.000000
15,Grok,Grok,27.295154,0.078325,0.035600,0,0,0.042725,0.000000
15,KAIROS,KAIROS,32.290427,1.000000,0.031646,0,1,0.968354,0.000000
15,Echo,Echo,31.294984,0.265267,0.032073,0,0,0.233194,0.000000
16,Grok,Grok,27.999031,0.080696,0.037212,0,0,0.043484,0.000000
